fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,pi_estrella_t,inflacion,expectativa,meta_inflacion,brecha_ancla_meta,ancla_dentro_banda_meta
2023-09-01,B0,Modelo base TVP-VAR,2.7257537118650053,0.08832969907226383,0.25202463486946247,0.8819082777454196,4.132148291298271,4.69,4.15,4,0.13214829129827077,TRUE
2023-10-01,B0,Modelo base TVP-VAR,2.7514409318325166,0.08967271402113008,0.25202463486946247,0.8801127440801739,4.179598741089131,4.98,4.32,4,0.17959874108913088,TRUE
2023-11-01,B0,Modelo base TVP-VAR,2.766730668561842,0.09059689216954547,0.25202463486946247,0.8788771711034435,4.20873329803426,4.3,4.43,4,0.20873329803426,TRUE
2023-12-01,B0,Modelo base TVP-VAR,2.7694578536493073,0.09098372809890379,0.2520246348694625,0.8783599937371932,4.2153624149038595,4.18,4.32,4,0.21536241490385954,TRUE
2024-01-01,B0,Modelo base TVP-VAR,2.7678217188847722,0.09120941441513017,0.25202463486946247,0.878058264125835,4.214319752523433,3.82,4.29,4,0.2143197525234326,TRUE
2024-02-01,B0,Modelo base TVP-VAR,2.7608716967765488,0.0912443209325625,0.25202463486946247,0.8780115961217005,4.203960999206655,3.3,4.28,4,0.20396099920665467,TRUE
2024-03-01,B0,Modelo base TVP-VAR,2.744817869585263,0.09098053099021262,0.25202463486946247,0.8783642680874462,4.1778378260414275,3.24,4.14,4,0.1778378260414275,TRUE
2024-04-01,B0,Modelo base TVP-VAR,2.727105918995468,0.09066974357027786,0.25202463486946247,0.8787797729749374,4.148916165545765,3.36,4.02,4,0.14891616554576537,TRUE
2024-05-01,B0,Modelo base TVP-VAR,2.713901387298449,0.09048439056068862,0.25202463486946247,0.8790275792774309,4.127663332677636,3.76,3.99,4,0.12766333267763574,TRUE
2024-06-01,B0,Modelo base TVP-VAR,2.704879400412254,0.09041974210120145,0.2520246348694625,0.87911401054576,4.113537023607171,3.62,4.02,4,0.11353702360717133,TRUE
